Province,Total_Cases
,6405044
DKI Jakarta,1412474
Jawa Barat,1173731
Jawa Tengah,636409
Jawa Timur,601534
Banten,333875
Daerah Istimewa Yogyakarta,224307
Kalimantan Timur,209017
Bali,166831
Sumatera Utara,158866
Riau,152648
Sulawesi Selatan,144494
Sumatera Barat,104640
Nusa Tenggara Timur,94415
Kalimantan Selatan,87476
Sumatera Selatan,82198
Lampung,75485
Kepulauan Riau,70883
Kepulauan Bangka Belitung,66144
Kalimantan Barat,65605
Sulawesi Tengah,61099
Kalimantan Tengah,58217
Sulawesi Utara,52770
Papua,49927
Kalimantan Utara,45417
Aceh,44038
Jambi,38643
Nusa Tenggara Barat,36247
Papua Barat,32170
Bengkulu,29173
Sulawesi Tenggara,25693
Maluku,18736
Sulawesi Barat,15601
Maluku Utara,14595
Gorontalo,13951
